DealID;Company;Sector;Headquarters;DealDate;DealType;TargetCompany;StakePercent;DealValueUSD_M;RevenueMultiple;EBITDAMultiple;FundingSource;PostDealROIC_3Y_pct;MarketReaction_1D_pct;MarketReaction_30D_pct;RiskScore;Recommendation;ProductScore;PriceStrategy;PlaceCoverage;PromotionIntensity;DealSummary
6454a1da17b748c9b4d8eb51fabe0923;Martin Group;Industrials;Germany;23/10/2020;Divestiture;Ross, Adams and Robertson;45;13912.3;4.15;8.83;Equity;37.6;-5.17;6.04;5;Hold;6;Competitive;Local;Medium;On 2020-10-23, Martin Group (Industrials) announced a divestiture of 45% stake in Ross, Adams and Robertson for $13912.30M, implying 4.15x revenue and 8.83x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 37.6%. Analyst verdict: Hold.
1e4a6a7002fa436aa610775c8df90559;Morris-Oliver;Consumer Discretionary;Canada;20/5/2021;Merger;Allen and Sons;14;47752.06;8.29;16.29;Debt;-18.82;-2.01;23.39;8;Sell;1;Discount;Regional;Low;On 2021-05-20, Morris-Oliver (Consumer Discretionary) announced a merger of 14% stake in Allen and Sons for $47752.06M, implying 8.29x revenue and 16.29x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at -18.82%. Analyst verdict: Sell.
4bc47692bf174f42a9200028943951bb;Shaw, Wise and Gutierrez;Technology;France;2/8/2012;Acquisition;Lowery Ltd;51;1661.75;10.08;19.83;Equity;29.76;0.8;4.49;2;Buy;8;Competitive;Local;Low;On 2012-08-02, Shaw, Wise and Gutierrez (Technology) announced a acquisition of 51% stake in Lowery Ltd for $1661.75M, implying 10.08x revenue and 19.83x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at 29.76%. Analyst verdict: Buy.
4ff142a0c86340e5bc2f28dfee18fe6a;Reeves Ltd;Telecommunications;Japan;15/5/2012;Merger;Townsend, Foster and Brown;82;46629.65;2.84;20.53;Debt;21.48;-4.62;-5.37;5;Hold;3;Discount;Local;Medium;On 2012-05-15, Reeves Ltd (Telecommunications) announced a merger of 82% stake in Townsend, Foster and Brown for $46629.65M, implying 2.84x revenue and 20.53x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 21.48%. Analyst verdict: Hold.
5eabd8a684544d9ca75743d5c7ffc51c;Rice and Sons;Financials;Singapore;24/8/2015;Merger;Rodriguez-Chavez;6;8517.95;10.92;24.61;Debt;27.03;-2.57;-5.1;7;Hold;9;Discount;Regional;Medium;On 2015-08-24, Rice and Sons (Financials) announced a merger of 6% stake in Rodriguez-Chavez for $8517.95M, implying 10.92x revenue and 24.61x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 27.03%. Analyst verdict: Hold.
ae649290cc9845629359f4ecd3db8719;Roberts LLC;Telecommunications;UK;13/5/2019;Acquisition;Estrada Ltd;38;33644.94;10.46;20.8;Equity;-17.7;2.09;8.44;4;Sell;1;Skimming;Local;High;On 2019-05-13, Roberts LLC (Telecommunications) announced a acquisition of 38% stake in Estrada Ltd for $33644.94M, implying 10.46x revenue and 20.8x EBITDA multiples. Funding was Equity. Post‐deal 3‑year ROIC is projected at -17.7%. Analyst verdict: Sell.
596ef3391b4542ed8abd688f3608ca95;Pope-Jefferson;Telecommunications;Singapore;7/10/2012;Acquisition;Charles Group;41;37290.71;6.29;18.61;Mixed;26.5;-4.87;3.26;7;Hold;3;Skimming;Global;Medium;On 2012-10-07, Pope-Jefferson (Telecommunications) announced a acquisition of 41% stake in Charles Group for $37290.71M, implying 6.29x revenue and 18.61x EBITDA multiples. Funding was Mixed. Post‐deal 3‑year ROIC is projected at 26.5%. Analyst verdict: Hold.
a17c8702b2fd433693e57e62477b96df;Sanchez, Campbell and Pearson;Consumer Discretionary;Australia;21/1/2015;Merger;Schneider PLC;67;6639.55;6.35;10.77;Debt;34.95;10.17;29.7;2;Buy;3;Skimming;Global;High;On 2015-01-21, Sanchez, Campbell and Pearson (Consumer Discretionary) announced a merger of 67% stake in Schneider PLC for $6639.55M, implying 6.35x revenue and 10.77x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at 34.95%. Analyst verdict: Buy.
54d795078d0d4993b0b488219c90bb1b;Ruiz-Nelson;Real Estate;Brazil;3/11/2011;Divestiture;Miller-Adams;21;6906.64;2.73;11.06;Debt;-1.06;-9.8;22.51;8;Hold;8;Premium;Regional;Medium;On 2011-11-03, Ruiz-Nelson (Real Estate) announced a divestiture of 21% stake in Miller-Adams for $6906.64M, implying 2.73x revenue and 11.06x EBITDA multiples. Funding was Debt. Post‐deal 3‑year ROIC is projected at -1.06%. Analyst verdict: Hold.
e584f38b7d614c968172603e5ab2b8ef;Ferrell-Austin;Financials;Singapore;2/5/2022;Acquisition;Whitaker Inc;28;42544.26;7.77;2.39;Mixed;37.1;-1.45;18.49;2;Buy;2;Discount;Global;High;On 2022-05-02, Ferrell-Austin (Financials) announced a acquisition of 28% stake in Whitaker Inc for $42544.26M, implying 7.77x revenue and 2.39x EBITDA multiples. Funding was Mixed. Post‐deal 3‑year ROIC is projected at 37.1%. Analyst verdict: Buy.
